year,Accident at Work and Health and Safety related deaths,"Alcohol, drug and medication related deaths",Care Home Health related deaths,Child Death (from 2015),Community health care and emergency services related deaths,Emergency services related deaths (2019 onwards),Hospital Death (Clinical Procedures and medical management) related deaths,Mental Health related deaths,Other related deaths,Police related deaths,Product related deaths,Railway related deaths,Road (Highways Safety) related deaths,Service Personnel related deaths,State Custody related deaths,Suicide (from 2015),Wales prevention of future deaths reports (2019 onwards)
2013,1,2,2,0,7,0,8,0,1,0,1,0,0,0,1,0,0
2014,0,3,6,0,13,0,40,4,10,3,0,1,9,2,8,0,0
2015,2,3,4,8,8,0,32,3,8,2,1,2,6,1,3,5,0
2016,2,1,1,6,7,1,41,8,6,3,1,2,4,0,6,13,0
2017,0,0,3,1,8,0,39,3,3,3,4,2,6,0,4,5,0
2018,0,3,4,4,10,0,27,1,8,0,0,1,5,1,5,5,0
2019,4,29,20,16,24,18,87,34,24,1,1,5,20,3,15,34,14
2020,5,43,24,25,61,23,95,63,64,9,8,7,24,1,13,53,11
2021,0,22,17,11,22,10,50,30,31,14,7,4,11,2,8,27,2
2022,2,10,4,5,5,4,20,11,15,1,1,2,8,0,4,10,8
2023,1,4,4,8,0,4,34,4,11,0,0,3,9,0,4,20,3
2024,0,1,0,1,1,0,6,0,2,0,0,0,0,0,1,2,0
