coroner_name,count
Ms Alison Patricia Mutch OBE,36
Ms Mary Hassell,24
Mr Andrew Cox,14
Mr Tom Osborne,12
Mr Kevin McLoughlin,11
Ms Nadia Persaud,11
Mr graeme Irvine,11
Mrs lydia brown,11
Mr Andrew Harris,11
Ms Caroline Saunders,9
Mrs Caroline Beasley-Murray OBE,9
Mrs Jacqueline F Lake,9
Ms Sonia Marie Hayes,9
Mr Chris Morris,7
Miss Lisa Judge,7
Miss Anna Crawford,7
Mr Andrew Adrian Haigh,7
Mr James Bennett,7
Ms Penelope Schofield,7
Miss Emma Brown,6
Mrs Maria Eileen Voisin,6
Mr Zafar Siddique,6
Dr Fiona Jane Wilcox,6
Mr Professor John S Pollard,6
Mrs Emma Elizabeth Whitting,6
Mr Richard Travers,6
Mr Alan Wilson,6
Mr Derek Winter DL,6
Miss Emma Serrano,5
Mr André Rebello OBE,5
Mr Gordon Clow,5
Ms Catherine McKenna,5
Mr Crispin Oliver,5
Miss Veronica HAMILTON-DEELEY,5
Margaret Jones,5
Mr Andrew Walker,5
Dr Nicholas Alastair Shaw,5
Dr Richard Ian Brittain,5
Mr Graeme David Hughes,4
Mr Colin Phillips,4
Mr Oliver Robert Longstaff,4
Mr Nigel Parsley,4
Mrs Helen Rachel Redman,4
Mr Andrew Michael Bridgman,4
Mrs Rachael Clare Griffin,4
Miss Caroline Topping,4
Mrs Joanne Lees,4
Mr Ian Arrow,4
Mr David William Graham RIDLEY,4
Mr John Gittins,3
Mr Jason Pegg,3
Mr James Edward Thompson,3
Mrs Louise Hunt,3
Mr Matthew A Cox,3
Mrs Joanne Andrews,3
Mr David Clark Horsley,3
Mr Nicholas Leslie Rheinberg,3
Mr David Donald William REID,3
Mr Paul Stanford Cooper,3
Mr S. McGovern,3
Mr Tim Holloway,3
Mr Timothy William Brennand,3
Ms Abigail Combes,3
Mr Zak Golombeck,3
David Urpeath,3
Miss Laurinda Bower,3
Ms Nicola Jane Mundy,3
Dr Karen Henderson,3
Dr Julian Rupert Laurence Morris,3
Hassan Shah,3
Miss Rachel Elisabeth Knight,3
Ms Yvonne Kathleen Blake,2
Dr Peter Harrowing,2
Mr Ian Geoffrey Pears,2
Mr Ian Potter,2
Mrs Heidi Julia Connor,2
Ms Patricia Harding,2
Dr Simon Fox QC,2
Mr Alan Peter Walsh,2
Dr Roy N Palmer,2
Dr Robert Hunter,2
Mrs Karen Dilks,2
Mr Jonathan D P Stevens,2
Mr Jonathan Richard Heath,2
Dr E. Emma Carlyon,2
Christopher Woolley,2
Mr Lincoln Brookes,2
David Hinchcliff,2
Dr Leslie Hamilton,2
Mr Peter J Bedford,2
Mr Michael Singleton,2
Dr James Adeley,2
Ms Sarah Bourke,2
Mr Nigel Meadows,2
Mr Martin Dominic Fleming,2
Mr James Healy-Pratt,2
Mr Darren Stewart OBE,2
Julie Robertson,2
Miss Sarah Ormond-Walshe,2
Ms Catherine Judith Wood,2
Mr Andrew Roger Barkley,2
Mr Andrew Tweddle,2
Ms Henrietta Hill QC,2
Ms Jacqueline P Devonish,2
Stephanie Haskey,2
Ms Julie Alison Goulding,2
Mr Thomas Richard Geoffrey Leeper,2
Mr DAVID LLEWELYN ROBERTS,2
