coroner_name,count
Ms Alison Patricia Mutch OBE,84
Ms Mary Hassell,52
Ms Nadia Persaud,31
Mrs Jacqueline F Lake,30
Mr Andrew Harris,24
Mrs Louise Hunt,24
Mr Andrew Adrian Haigh,23
Mr Andrew Cox,22
Miss Veronica HAMILTON-DEELEY,22
Mr Tom Osborne,22
Mr Chris Morris,20
Mr Professor John S Pollard,19
Mr Kevin McLoughlin,18
Mr graeme Irvine,17
Mrs Caroline Beasley-Murray OBE,17
Dr Fiona Jane Wilcox,15
Mrs Maria Eileen Voisin,15
Mr John Gittins,15
Ms Sonia Marie Hayes,14
Mrs lydia brown,14
Miss Anna Crawford,14
Ms Caroline Saunders,13
Ms Jacqueline P Devonish,13
Mr Nigel Parsley,13
Mr Zafar Siddique,13
Mr James Bennett,13
Mrs Heidi Julia Connor,12
Miss Emma Brown,12
Miss Emma Serrano,12
Mr Derek Winter DL,11
