year,Ms Alison Patricia Mutch OBE,Ms Mary Hassell,Mr Professor John S Pollard,Mr Tom Osborne,Ms Nadia Persaud,Mrs Jacqueline F Lake,Mr Andrew Harris,Mr Andrew Cox,Mrs Louise Hunt,Miss Veronica HAMILTON-DEELEY,Mr John Gittins,Mrs lydia brown,Mr Kevin McLoughlin,Mr Zafar Siddique,Mr Chris Morris,Mr Andrew Walker,Mr graeme Irvine,Mr Andrew Adrian Haigh,Dr Fiona Jane Wilcox,Mr Martin Dominic Fleming,Ms Joanne Kearsley,Mrs Heidi Julia Connor,Mrs Maria Eileen Voisin,Ms Lisa Jeanette Hashmi,Miss Emma Brown,Mr Andrew Roger Barkley,Mr André Rebello OBE,Mr Derek Winter DL,Mrs Caroline Beasley-Murray OBE,Mr Alan Wilson
2013,1,8,6,5,1,0,5,2,2,0,5,2,0,0,0,3,0,5,0,4,2,1,2,3,0,0,3,2,0,3
2014,0,18,31,16,3,13,13,5,6,9,12,7,1,4,0,14,0,8,10,7,9,3,7,9,0,5,5,7,8,7
2015,0,18,27,8,7,12,7,8,10,7,7,9,3,4,1,13,0,5,1,2,6,4,7,6,4,8,5,3,5,4
2016,1,16,18,9,9,4,7,6,9,7,4,9,1,8,0,6,0,2,7,10,6,5,1,5,7,11,4,2,7,1
2017,14,20,2,10,5,5,6,2,6,10,7,5,3,14,5,3,0,3,2,2,1,6,5,11,5,11,6,4,4,2
2018,28,14,2,6,6,1,3,7,8,10,3,4,8,11,7,2,0,7,7,10,2,4,4,6,9,1,2,6,3,4
2019,31,11,1,8,8,9,6,7,13,8,6,4,6,6,11,2,1,8,7,4,6,6,9,2,6,3,3,3,2,1
2020,24,9,0,5,11,5,5,7,2,3,1,0,6,1,8,4,11,7,1,0,0,1,1,0,1,0,2,2,10,4
2021,30,19,0,5,8,3,7,5,2,9,4,4,13,4,6,0,11,5,2,3,5,4,2,0,2,0,4,4,0,5
2022,24,10,0,3,9,13,3,5,3,0,4,6,7,1,10,4,14,0,3,2,3,3,2,0,3,0,2,4,0,1
2023,29,11,0,5,12,7,5,9,3,0,7,3,6,0,5,1,12,0,4,2,4,7,2,0,5,0,2,2,0,4
2024,6,2,0,0,0,0,0,2,1,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0
