sent_to,count
Department of Health and Social Care,25
NHS England,23
Department for Transport,11
Care Quality Commission,10
Greater Manchester Health & Social Care Partnership,8
Home Office,5
Midlands Partnership NHS Foundation trust,5
Metropolitan Police,5
Highways England,5
HM Prison and Probation Service,5
Clinical Commissioning Group,4
Wales Ambulance Service NHS Trust,4
NHS Trafford Clinical Commissioning Group,4
NHS Digital,3
Public Health England,3
Greater Manchester Mental Health NHS Foundation Trust,3
Greater Manchester Police,3
East Lancashire Hospitals NHS Trust,3
Health and Safety Executive,3
Healthcare Safety Investigation Branch,3
Dept. of Health and Social Care,3
Homerton Healthcare NHS Foundation Trust,3
The Secretary of State for Health and Social Care,3
South Lincolnshire Clinical Commissioning Group,3
Medicines & Healthcare products Regulatory Agency,3
Aneurin Bevan University Health Board,3
National Police Chiefs’ Council,3
Association of Ambulance Chief Executives,3
Driver & Vehicle Licensing Agency,2
Essex Partnership NHS Trust,2
South London and Maudsley NHS Foundation Trust,2
East London NHS Trust,2
East London NHS Foundation Trust,2
Medway NHS Foundation Trust,2
National Institute for Health and Care Excellence,2
EPUT,2
St Pancras Hospital,2
Secretary of State,2
Staffordshire Fire and Rescue Service HQ,2
National Institute for Health & Care Excellence,2
Metropolitan Police Service,2
Surrey Police,2
Department of Business Energy and Industrial Strategy,2
Surrey and Borders Partnership NHS Foundation Trust,2
NHS Pathways,2
Tameside & Glossop Integrated Care NHS Foundation Trust,2
Sheffield Teaching Hospitals NHS Foundation Trust,2
Oxleas NHS Trust,2
James Paget University Hospital,2
Network Rail,2
Pennine Care NHS Foundation Trust,2
Oxleas NHS Foundation Trust,2
Leeds Teaching Hospitals NHS Trust,2
London Ambulance Service,2
Queen Elizabeth Hospital,2
North East London Foundation Trust,2
Manchester University NHS Foundation Trust,2
Norfolk and Norwich University Hospital,2
Cwm Taf Morgannwg University Health Board,2
HMPPS,2
Royal College of Physicians,2
Royal Free Hospital,2
Royal London Hospital,2
Maritime Coastguard Agency,2
Royal National Lifeboat Institute,2
Royal National Lifeboat Institution,2
Royal Pharmaceutical Society,2
Royal Stoke University Hospital,2
Maritime and Coastguard Agency,2
Hampshire County Council,2
Ministry of Justice,2
Betsi Cadwaladr University Health Board,2
Civil Aviation Authority,2
Barts Health NHS Trust,2
British Medical Association,2
The Home Secretary,2
United Lincolnshire Hospital Trust,2
Birmingham and Solihull Mental Health Foundation Trust,2
West Sussex County Council,2
Care UK,2
Welsh Ambulance Services NHS Trust,2
Nottinghamshire County Council,1
We Are With You charity,1
"Pelham House, West Sussex",1
Nottingham North and East,1
Peabody Trust,1
Welsh Ambulance Service,1
PCRSteel Ltd.,1
Nottingham University Hospital NHS Trust,1
Nursing and Midwifery Council,1
Welsh Ambulance NHS Trust,1
Nottingham West,1
Oxford Health NHS Trust,1
Warwickshire County Council,1
Oakridge House Residential Home,1
Office for Product Safety and Standards,1
Primary Care Support England,1
Persona Care and Support Ltd,1
Queen’s Hospital,1
Rose Builders and Contractors Ltd,1
University Hospitals Bristol and Weston NHS Foundation Trust,1
University Hospitals of Birmingham NHS Foundation Trust,1
Rocky Lane Medical Centre,1
Riverside Rest Home,1
Vantage Drilling Company,1
Reed Nursing Trust,1
Various,1
Pluss Work Choice,1
Various recipients – please see the report,1
W E Rawson Ltd,1
Warwick Hospital,1
Prospect Park Hospital,1
Princess Alexandra Hospital,1
Prime Minister's Office,1
Northumbria Health Care Trust,1
Nottingham City Clinical Commissioning Groups,1
North West Motorway Police Group,1
Northamptonshire Police,1
National Association of Ambulance Medical Directors,1
National Police Chiefs Council,1
Weymouth Street Hospital,1
Whipps Cross Hospital,1
Whiston Hospital,1
Whittington Hospital,1
Winchmore Hill Practice,1
National Highways,1
Woolwich Station Medical Centre,1
Western Sussex Hospital Trust,1
Worcestershire Acute Hospitals NHS trust,1
NHS Professionals Limited,1
Wrexham County Council,1
NHS Kent and Medway Clinical Commissioning Group,1
NHS Improvement,1
NHS England & NHS Improvement,1
Wrightington Wigan and Leigh NHS Trust,1
Weston NHS Foundation Trust,1
West Yorkshire Integrated Care System,1
Rotherham NHS Trust,1
North Cumbria University Hospitals NHS Trust,1
North West Boroughs Healthcare NHS Foundation Trust,1
North West Ambulance,1
North Wales Police,1
North East London NHS Foundation Trust – Child & Adult Mental Health Services,1
Welsh Ambulance Trust,1
North East Ambulance Service,1
North Cumbria integrated Care Trust,1
North Bristol NHS Trust,1
New Lodge Nursing Home,1
Welsh Assembly Government,1
West Midlands Ambulance Service,1
Norfolk County Council,1
Nightingale Hospital,1
West Suffolk Hospital,1
Newbury Park Health Centre,1
Newark and Sherwood,1
Rossendale Nursing Home,1
The Care Quality Commission,1
Royal Brompton Hospital,1
The Priory Group,1
Stockport Metropolitan Borough Council,1
