name,title,role
Mr Andrew Philip Hetherington,Senior Coroner,Northumberland
HHJ Edward Thomas Henry Teague QC,The Chief Coroner of England and Wales,Honorary Member
Mr Crispin Giles Butler,Senior Coroner,Buckinghamshire
Ms Katy Skerrett,Senior Coroner,Gloucestershire
Ms Megan Pullum,Senior Coroner,Corresponding Member
Mr Terence Carney,Senior Coroner,Gateshead and South Tyneside
Ciaran MacLoughlin,Senior Coroner,Corresponding Member
Ms Kate Robertson,Senior Coroner,North West Wales
Raymond NAQVI,Senior Coroner,Corresponding Member
Mr Peter Nieto,Senior Coroner,Derby and Derbyshire
Mr John Anthony Needham,Senior Coroner,Corresponding Member
Helen Margaret Scott,Senior Coroner,Corresponding Member
Mr John Penhale Ellery,Senior Coroner,"Shropshire, Telford and Wrekin"
Mr David William Graham RIDLEY,Senior Coroner,Wiltshire and Swindon
Ms Jacqueline P Devonish,Senior Coroner,Cheshire
Mr John Gittins,Senior Coroner,North Wales (East & Central)
Dr Dirk W Huyer,Senior Coroner,Corresponding Member
Clare Faulds,Senior Coroner,Corresponding Member
Graeme Douglas Johnstone,Senior Coroner,Honorary Member
Mrs Samantha Marsh,Senior Coroner,Somerset
Mrs lydia brown,Senior Coroner,London West
Mr Nigel Parsley,Senior Coroner,Suffolk
Mr S. McGovern,Senior Coroner,Warwickshire
Ms Alison Brydie Hewitt,Senior Coroner,London City
Mr Andrew Cox,Senior Coroner,Cornwall and the Isles of Scilly
Mr Graeme David Hughes,Senior Coroner,South Wales Central
Judge Jennifer Coate,Senior Coroner,Corresponding Member
Mr David Donald William REID,Senior Coroner,Worcestershire
Dr Brian J Farrell,Senior Coroner,Corresponding Member
Soerdjbalie-Maikoe,Senior Coroner,Corresponding Member
Miss Sarah Ormond-Walshe,Senior Coroner,London South
Mr Darren Michael Salter,Senior Coroner,Oxfordshire
Joanne Donnelly,Senior Coroner,Corresponding Member
Miss Clare Bailey,Senior Coroner,Teesside
The Honourable Mr Justice Weir,Senior Coroner,Corresponding Member
Mr Andrew Walker,Senior Coroner,London North
Dr Elizabeth A Earland,Senior Coroner,Retired Member
The Hon. Mr. Justice Colton,Senior Coroner,Corresponding Member
Mrs Caroline Sarah Sumeray,Senior Coroner,Isle of Wight
Mr Jonathan Richard Heath,Senior Coroner,North Yorkshire and York
Mary Jerram,Senior Coroner,Corresponding Member
Mr Timothy William Brennand,Senior Coroner,Greater Manchester West
Ms Jayne Hughes,Senior Coroner,Corresponding Member
Miss Maria Dougan,Senior Coroner,Corresponding Member
Mr Andrew Roger Barkley,Senior Coroner,Staffordshire and Stoke-on-Trent
Ms Nicola Jane Mundy,Senior Coroner,Yorkshire South East
Mr Tom Osborne,Senior Coroner,Milton Keynes
Mr Paul Duncan Smith,Senior Coroner,Lincolnshire
Isaac Tan,Senior Coroner,Corresponding Member
Mr Alan R Craze,Senior Coroner,Retired Member
Gordon Matenga,Senior Coroner,Corresponding Member
Dr Andrina O'Brien,Senior Coroner,Corresponding Member
Mr Alan Moore,Senior Coroner,Retired Member
Ms Penelope Schofield,Senior Coroner,"West Sussex, Brighton and Hove"
Miss Mairin Casey,Senior Coroner,Nottinghamshire
Mrs Heidi Julia Connor,Senior Coroner,Berkshire
Mr Mark Harris,Senior Coroner,Corresponding Member
Mrs Anne Pember,Senior Coroner,Northamptonshire
Judge Neil MacLean - Chief Coroner New Zealand,Senior Coroner,Honorary Member
Justice Lateefa Abisola OKUNNU,Senior Coroner,Corresponding Member
Judge Neil MacLean - Chief Coroner New Zealand,Senior Coroner,Honorary Member
Justice Lateefa Abisola OKUNNU,Senior Coroner,Corresponding Member
Cherry McMillen,Senior Coroner,Corresponding Member
Dr Prof. Denis A. Cusack,Senior Coroner,Corresponding Member
Mr Lincoln Brookes,Senior Coroner,Essex
Judge Victor YEO Khee Eng,Senior Coroner,Corresponding Member
James Peter Kitson,Senior Coroner,Corresponding Member
CHRISTOPHER MARTIN,Senior Coroner,Corresponding Member
Mr Christopher Campbell Wilkinson,Senior Coroner,"Hampshire, Portsmouth and Southampton"
Greffier Sarah Kelly,Senior Coroner,Corresponding Member
Greffier Sarah Kelly,Senior Coroner,Corresponding Member
Ms Caroline Saunders,Senior Coroner,Gwent
Dr Myra Cullinane,Senior Coroner,Corresponding Member
Wayne Solomon,Senior Coroner,Corresponding Member
Ms Julie Alison Goulding,Senior Coroner,"Sefton, Knowsley and St Helens"
Mrs Louise Hunt,Senior Coroner,Birmingham and Solihull
Ms Alison Patricia Mutch OBE,Senior Coroner,Greater Manchester South
Mr Philip Spinney,Senior Coroner,Exeter and Greater Devon
Brian G Sherrard,Senior Coroner,Corresponding Member
Mrs Maria Eileen Voisin,Senior Coroner,Avon
Alastair John Trevaskis,Senior Coroner,Corresponding Member
Peter A N de Gruchy,Senior Coroner,Corresponding Member
Mr Andrew Harris,Senior Coroner,London Inner South
Mrs Anne-Louise Toal,Senior Coroner,Corresponding Member
Ms Kally Cheema,Senior Coroner,Cumbria
Ms Mary Hassell,Senior Coroner,London Inner North
"Matthew J Bowes, MD, FRCPC",Senior Coroner,Corresponding Member
James Peter Kitson,Senior Coroner,Corresponding Member
Ms Jayne Hughes,Senior Coroner,Corresponding Member
Mr David Heming,Senior Coroner,Cambridgeshire and Peterborough
Mr Tony Williams,Senior Coroner,Retired Member
Dr Fiona Jane Wilcox,Senior Coroner,London Inner West
Dr Mary Flanagan,Senior Coroner,Corresponding Member
Peter Ryan,Senior Coroner,Corresponding Member
Mrs Emma Elizabeth Whitting,Senior Coroner,Bedfordshire and Luton
Mr Geoffrey Sullivan,Senior Coroner,Hertfordshire
Dr James Adeley,Senior Coroner,Lancashire and Blackburn with Darwen
Mr Paul Vernon Marks,Senior Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Mr Patrick McGurgan,Senior Coroner,Corresponding Member
Mr Kevin McLoughlin,Senior Coroner,Yorkshire West Eastern
Mrs lydia brown,Senior Coroner,London West
Mr Patrick McGurgan,Senior Coroner,Corresponding Member
Mrs Jacqueline F Lake,Senior Coroner,Norfolk
Mr Richard Travers,Senior Coroner,Surrey
Ms Joanne Kearsley,Senior Coroner,Greater Manchester North
Mr Jonathan Richard Heath,Senior Coroner,North Yorkshire and York
Ms Patricia Harding,Senior Coroner,Kent Mid and Medway
Mr Graeme David Hughes,Senior Coroner,South Wales Central
Deborah Malcolm,Senior Coroner,Corresponding Member
Mr joseph mccrisken,Senior Coroner,Corresponding Member
Dr Michael Kennedy,Senior Coroner,Corresponding Member
Mr Martin Dominic Fleming,Senior Coroner,Yorkshire West Western
Garry Leslie Evans,Senior Coroner,Corresponding Member
Isaac Tan,Senior Coroner,Corresponding Member
Miss Clare Bailey,Senior Coroner,Teesside
R .David Crawford Clarke,Senior Coroner,Retired Member
Ms Julie Alison Goulding,Senior Coroner,"Sefton, Knowsley and St Helens"
Mr Alan Wilson,Senior Coroner,Blackpool and Fylde
Mr Derek Winter DL,Deputy Chief Coroner,Sunderland
Mr Roger Linton Hatch,Senior Coroner,Kent North West
Mr Mark Harris,Senior Coroner,Corresponding Member
Mr Malcolm Simmons,Senior Coroner,Corresponding Member
Mrs Catherine Mason,Senior Coroner,Leicester City and South Leicestershire
Ms Jayne Hughes,Senior Coroner,Corresponding Member
Mr Nigel Meadows,Senior Coroner,Manchester City
Mr Mr P J Bennett,Acting Coroner,Carmarthenshire and Pembrokeshire
Mr Colin Phillips,Acting Coroner,Swansea and Neath Port Talbot
Ms Fiona King,Acting Coroner,East Sussex
Mrs Joanne Andrews,Area Coroner,"West Sussex, Brighton and Hove"
Miss Sarah Clarke,Area Coroner,Kent North East
Mr Darren Stewart OBE,Area Coroner,Suffolk
Miss Emma Brown,Area Coroner,Birmingham and Solihull
Mrs Joanne Lees,Area Coroner,The Black Country Jurisdiction
Miss Emma Serrano,Area Coroner,Staffordshire and Stoke-on-Trent
Mr Oliver Robert Longstaff,Area Coroner,Yorkshire West Eastern
Miss Catherine Bisset,Area Coroner,Lancashire and Blackburn with Darwen
Mrs Anita Bhardwaj,Area Coroner,Liverpool and the Wirral
Ms Katrina Hepburn,Area Coroner,Kent Central and South East
Mr Brendan Joseph Allen,Area Coroner,Dorset
Mrs Patricia Claire Morgan,Area Coroner,South Wales Central
Mr Alan Peter Walsh,Area Coroner,Greater Manchester West
Mrs Claire Welch,Area Coroner,Cheshire
Mr James Bennett,Area Coroner,Birmingham and Solihull
Ms Joy Michelle Brown OBE,Area Coroner,Essex
Mr Christopher John Long,Area Coroner,Lancashire and Blackburn with Darwen
